,loss,accuracy,val_loss,val_accuracy,lr
0,0.5219413638114929,0.7669329643249512,0.5129758715629578,0.7569963335990906,0.001
1,0.4800649881362915,0.7899838089942932,0.4475994408130646,0.8015325665473938,0.001
2,0.4594046473503113,0.7991877198219299,0.4449024796485901,0.785486102104187,0.001
3,0.4440486431121826,0.8060649037361145,1.1600918769836426,0.44159120321273804,0.001
4,0.42793700098991394,0.8117323517799377,0.5495496392250061,0.7239904999732971,0.001
5,0.3851543664932251,0.8280347585678101,0.4266277849674225,0.8242811560630798,0.0005
6,0.35383498668670654,0.8387880325317383,0.46981075406074524,0.7958154082298279,0.0005
7,0.3213854432106018,0.849546492099762,0.4905250370502472,0.8180354833602905,0.0005
8,0.26169174909591675,0.8769985437393188,0.6212578415870667,0.8173869252204895,0.00025
9,0.22559700906276703,0.8936458230018616,0.6088640093803406,0.7686228156089783,0.00025
10,0.1846083104610443,0.9134536981582642,0.713458776473999,0.7730188369750977,0.000125
